"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"156",0.358255079505818,0.878389174708367,-0.916383614247316,0.44380299721338,0.19938667270932,-1.00176968558856,-0.898860080779521,-0.0915427308516505,5.8,0.3,0.377,0.43,0.45,14.3,15,5.6,18.2,99,102,1.5,9.4,10.9,0.078,-0.7,0.3,-0.4,2.8
"158",1.13628378752351,1.28760623334823,3.45789466524138,1.95536964118768,1.1918322333332,1.44118128892603,-0.333924877756095,-0.76155761197862,5.2,0.3,0.545,0.545,0.581,15.9,12,2.2,24.2,103,108,12.1,9.6,21.7,0.08,-1,-1.4,-2.4,-1.3
"159",0.0470435962987421,-0.553870530531171,-0.0636762028026838,1.09161727320236,1.08156050437499,-0.39103194195991,0.795945528290757,0.0759609894300918,2.9,0.5,0.453,0.453,0.506,12,10.8,5.9,12.2,107,105,3.9,6.6,10.4,0.088,-3,1.6,-1.4,0.8
"161",0.0470435962987421,1.0829977040283,1.02158777539957,0.875679181206036,0.861017046458576,-1.45982299331005,0.984257262631899,0.243464709711834,9.7,0.7,0.512,0.512,0.535,17,18.3,4.1,18.9,106,103,17.5,27.8,45.3,0.114,-0.5,0,-0.6,6.8
"165",-0.886590853322484,-0.553870530531171,2.57196488711709,0.9836482272042,1.63291914916604,1.67020794278678,-0.145613143414953,-1.43157249310559,3.2,0.8,0.399,0.436,0.507,11,8,0.4,16.5,103,105,7,8.8,15.8,0.08,-2.3,0.1,-2.2,-0.5
"167",0.669466562712893,0.059955057428631,1.4202561755555,1.63146250319318,1.1918322333332,-0.39103194195991,1.92581593433761,0.0759609894300918,4.3,0.3,0.513,0.513,0.536,13.4,16.5,5.3,14.6,107,102,2.2,3.8,5.9,0.119,-2.5,0.5,-2,0
"177",-1.19780233652956,-1.98613023577071,-0.429122236278954,-1.7155779227499,-0.903330616872772,1.13581241711171,-1.46379528380295,-0.76155761197862,1.5,0.2,0.436,0.558,0.573,11.4,8.4,0.6,17.6,109,110,1.1,1.6,2.8,0.085,-0.4,-0.4,-0.8,0.5
"185",0.669466562712893,0.264563586748565,0.445733419618784,0.119895859218889,-0.351971972081726,0.0670213657615761,-1.46379528380295,-1.43157249310559,8.3,1.1,0.514,0.514,0.553,20.1,17.1,1.7,22.4,110,106,29.5,20.2,49.7,0.136,1.5,-0.1,1.4,15.2
"186",1.44749527073058,1.6968232919881,1.02158777539957,0.9836482272042,-0.0211567852070982,-0.543716377867072,1.17256899697304,0.243464709711834,6.2,0.4,0.574,0.574,0.609,18.7,20.1,5.2,19.3,116,103,4,3.3,7.3,0.174,-1.2,0.8,-0.4,0.8
"187",-0.886590853322484,0.059955057428631,-1.30397789217669,0.0119268132207247,0.640473588542157,-0.925427467634976,1.54919246565532,1.58349447196577,4,0.4,0.49,0.493,0.555,15.5,11.6,1.1,21.8,108,110,13.2,7.2,20.4,0.092,-0.6,-1.2,-1.9,0.4
"190",0.358255079505818,0.673780645388433,-0.362677502919633,0.551772043211544,0.30965840166753,-0.00932085219200663,-0.710548346438379,-0.259046451133393,3.9,0.5,0.524,0.524,0.548,15.3,14.8,2.4,22,105,109,0.8,1.8,2.5,0.081,-2.9,0.6,-2.2,-0.1
"192",1.13628378752351,2.10604035062797,-0.661678803036582,2.171307733184,1.41237569124962,1.51752350687962,-0.710548346438379,-0.594053891696877,11.7,0.6,0.582,0.583,0.599,24.3,24.3,7.5,21.7,116,100,22.3,23,45.3,0.199,1.6,1.2,2.8,13.3
"193",0.825072304316431,0.059955057428631,0.146732119501835,0.875679181206036,0.30965840166753,0.754101327343804,-0.898860080779521,-1.26406877282385,5,0.6,0.471,0.473,0.525,15,14.4,2,19.4,105,107,2.1,2.5,4.6,0.087,-1.8,-1,-2.8,-0.5
"194",0.513860821109355,0.469172116068499,0.0802873861425134,0.875679181206036,0.530201859583948,1.44118128892603,-0.145613143414953,-0.594053891696877,2.6,0.3,0.501,0.502,0.529,9.9,13.2,3.3,14.6,98,106,-0.4,4.3,3.9,0.055,-4.6,0.5,-4.1,-1.8
"196",-1.3534080781331,0.469172116068499,0.932994797587145,0.659741089209708,1.63291914916604,0.830443545297387,-0.333924877756095,-0.76155761197862,3.1,0.2,0.509,0.51,0.578,15.6,14,1.7,21.7,110,108,4.1,2.4,6.5,0.112,-1.7,-1.4,-3,-0.7
"201",0.0470435962987421,0.469172116068499,-1.04927308096596,-0.204011278775603,-0.241700243123517,0.0670213657615761,-0.145613143414953,-0.259046451133393,4.3,0.3,0.555,0.559,0.591,16.3,16.7,2.1,17.4,115,109,1.9,1.4,3.2,0.125,-1,-0.7,-1.7,0.1
"204",0.669466562712893,0.673780645388433,0.107972691708897,0.227864905217053,-0.241700243123517,0.677759109390225,-1.65210701814409,-1.0965650525421,1.6,0.3,0.413,0.414,0.466,9.7,9.8,1.9,17.6,95,102,-0.2,1.5,1.3,0.058,-4.8,0.5,-4.3,-0.6
"205",0.358255079505818,-0.963087589171039,-0.694901169716242,-0.851825554764587,-1.12387407478919,-0.696400813774235,0.231010325267331,0.0759609894300918,3,0.4,0.408,0.408,0.449,8.2,13.9,2.2,16.8,87,105,-1.3,1.3,0,0.001,-5.4,0.3,-5.1,-0.9
"216",-1.04219659492602,-0.963087589171039,1.03266189762613,-0.527918416770095,0.19938667270932,-0.849085249681397,0.607633793949615,0.578472150275319,3.6,0.8,0.477,0.516,0.543,14.6,9.9,3.5,19.1,104,105,7.1,17.5,24.6,0.09,-0.7,1.5,0.8,9.3
"219",-0.419773628511871,-0.553870530531171,-1.17108842545805,0.119895859218889,0.419930130625739,0.296048019622318,0.231010325267331,-0.259046451133393,6.1,0.6,0.471,0.53,0.563,13.6,15.7,1.8,16.9,110,107,7.8,9.5,17.3,0.105,-1.1,-0.4,-1.5,1
"223",0.825072304316431,0.469172116068499,-0.473418725185169,-0.635887462768259,-1.2341458037474,0.44873245552948,-1.08717181512066,-1.0965650525421,4.1,0.7,0.426,0.44,0.472,9.6,10.8,1.8,12.6,100,108,2.9,10.2,13.1,0.046,-2.6,0.1,-2.4,-1.5
"224",-0.575379370115409,-0.963087589171039,1.64173862008658,-0.311980324773767,0.0891149437511111,3.5787633916263,0.231010325267331,-0.76155761197862,7.5,0.7,0.436,0.463,0.493,16.2,17,1.9,22,105,103,6.2,9.2,15.3,0.113,-0.1,-0.3,-0.4,2.7
"225",-0.419773628511871,-0.553870530531171,0.00276853055663747,-2.14745410674255,-1.89577617749665,-0.543716377867072,-0.145613143414953,0.578472150275319,3.5,0.4,0.434,0.47,0.513,10.5,12.5,2.3,17.1,102,110,0.6,2.7,3.2,0.053,-3.5,-0.8,-4.3,-1.7
"226",0.20264933790228,0.673780645388433,-0.274084525107204,1.41552441119686,1.30210396229141,-1.00176968558856,0.984257262631899,0.745975870557061,7.8,0.5,0.609,0.613,0.644,19,16.8,4.4,15.7,125,107,12.3,7.8,20,0.178,0.3,0.9,1.2,4.4
"228",0.358255079505818,-1.57691317713084,0.744734719735733,0.44380299721338,0.19938667270932,1.9755768146011,-2.21704222116752,-1.43157249310559,2.9,0.3,0.455,0.455,0.534,9.4,11.2,0.9,12.3,112,109,10.3,5.4,15.7,0.088,-2.6,-0.5,-3.1,-2.5
"229",0.980678045919969,0.878389174708367,0.689364108602964,1.09161727320236,0.419930130625739,1.51752350687962,-1.27548354946181,-1.59907621338733,3.7,0.5,0.411,0.412,0.474,7,10.6,1.9,10.4,97,103,0.7,19.4,20.1,0.064,-4.6,0.8,-3.7,-6.6
"234",1.29188952912704,-0.758479059851105,-0.307306891786865,-1.39167078475541,-2.33686309332949,-0.39103194195991,1.73750419999647,1.41599075168403,3.4,0.3,0.468,0.48,0.515,12.9,12,3.4,19,102,108,4.9,9.2,14.1,0.067,-2.6,-0.4,-2.9,-2.4
"235",1.44749527073058,2.71986593858777,0.135657997275282,1.73943154919135,0.750745317500366,-0.696400813774235,-0.710548346438379,-0.259046451133393,5.1,0.4,0.575,0.575,0.587,19.5,16.6,7,19.3,113,104,18.6,18,36.6,0.145,-0.4,0.6,0.2,6.6
"239",-2.13143678615079,-0.144653471891303,-0.130120936162007,0.0119268132207247,1.52264742020783,-0.162005288099169,-0.522236612097237,-0.594053891696877,4.3,0.3,0.474,0.474,0.518,15,17.5,2.9,16.3,109,108,2.5,1.9,4.4,0.098,-1.3,-0.9,-2.2,-0.1
"240",0.0470435962987421,-0.349262001211237,0.0581391416894057,-0.419949370771931,-0.462243701039935,-1.53616521126362,0.795945528290757,0.578472150275319,2.7,0.2,0.553,0.555,0.591,12.4,15.5,2.1,14.1,111,102,2.8,3.6,6.3,0.131,-2.9,0.6,-2.3,-0.2
"244",1.29188952912704,1.0829977040283,-0.927457736473869,0.0119268132207247,-0.903330616872772,0.983127981204549,-0.898860080779521,-1.43157249310559,2.5,0.3,0.525,0.527,0.578,16.9,14.5,6.2,14.5,118,103,3.7,3.1,6.8,0.157,-0.7,1.2,0.5,1.3
"248",0.20264933790228,1.0829977040283,1.32058907551652,1.30755536519869,1.1918322333332,-0.39103194195991,-0.333924877756095,0.0759609894300918,2.6,0.2,0.45,0.45,0.471,11.1,15,3.3,20.7,93,107,-0.5,0.8,0.3,0.014,-5.2,-1.9,-7,-1.3
"255",0.825072304316431,-0.553870530531171,-0.861013003114547,-0.311980324773767,-0.903330616872772,0.983127981204549,1.36088073131418,1.41599075168403,9,0.8,0.491,0.491,0.54,17.6,18.2,3.6,16,112,100,27.7,34.2,61.9,0.159,0.4,2.1,2.5,20.9
"260",-1.50901381973664,-0.349262001211237,1.46455266446172,-0.0960422327774392,0.971288775416785,-1.07811190354214,-0.522236612097237,-0.0915427308516505,3.9,0.5,0.534,0.534,0.511,12.1,19.6,2.3,12.5,103,103,0.7,2.2,2.9,0.092,-3.1,0.4,-2.7,-0.3
"262",-0.264167886908333,-0.553870530531171,-0.739197658622458,-1.17573269275908,-1.01360234583098,-0.543716377867072,1.54919246565532,1.41599075168403,8.8,0.6,0.571,0.604,0.634,21,16.8,3.2,21.4,121,112,12.2,4.2,16.4,0.158,1.9,-0.8,1.1,3.9
"268",0.825072304316431,-0.963087589171039,-0.849938880887994,-0.851825554764587,-1.45468926166382,0.143363583715156,0.231010325267331,1.08098331112055,3.8,0.4,0.484,0.515,0.544,14.5,13.3,1.4,18.3,109,106,6.4,6.8,13.2,0.107,-0.8,0.1,-0.7,2
"270",-1.04219659492602,-1.37230464781091,-0.827790636434887,-0.95979460076275,-0.241700243123517,-1.00176968558856,0.984257262631899,1.58349447196577,3.1,0.4,0.563,0.568,0.584,15.3,13.9,5.1,14.1,114,106,2.2,2.6,4.9,0.126,-1.1,1.6,0.5,1.2
"275",0.358255079505818,0.059955057428631,-0.340529258466525,-0.204011278775603,-0.462243701039935,-0.314689724006331,0.795945528290757,0.578472150275319,5.8,0.4,0.497,0.497,0.529,16.3,17.1,2.6,20,107,107,8.7,7.7,16.4,0.102,-1,-1,-2,0
"280",-0.419773628511871,-0.553870530531171,0.0802873861425134,-0.419949370771931,-0.131428514165307,0.983127981204549,-0.522236612097237,-0.594053891696877,3.9,0.5,0.463,0.513,0.539,13.2,11.4,1.8,13.9,110,106,9.1,9.3,18.5,0.107,-0.7,1,0.3,4.7
"282",-0.419773628511871,-0.144653471891303,-0.639530558583474,-0.419949370771931,-0.131428514165307,-1.07811190354214,1.36088073131418,1.75099819224751,2.9,0.2,0.438,0.441,0.483,9.2,13.5,1.3,17.5,96,108,-1.3,3.8,2.5,0.03,-4.2,-1.6,-5.7,-3.8
"285",-1.3534080781331,0.059955057428631,-1.52546033670777,0.119895859218889,1.08156050437499,0.143363583715156,-0.145613143414953,0.0759609894300918,2.3,0.6,0.499,0.509,0.522,12.8,10.3,1.8,15.7,102,108,0.7,3.1,3.9,0.061,-1,0.6,-0.5,1.2
"286",-0.575379370115409,-0.963087589171039,0.617382314130365,-0.851825554764587,-0.462243701039935,-0.543716377867072,0.0426985909261888,0.745975870557061,9,0.7,0.493,0.511,0.557,17.7,16.5,1.3,24.6,107,110,10.9,9.6,20.5,0.09,0.1,-0.6,-0.5,4.1
"295",1.29188952912704,0.059955057428631,-0.251936280654096,-1.82354696874806,-2.77795000916233,1.89923459664752,-1.65210701814409,-1.26406877282385,4.8,0.7,0.476,0.553,0.587,15.7,12.5,1.7,19.9,111,106,14.3,14.3,28.6,0.129,0.1,0.7,0.8,7.5
