"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"291",0.232895824695399,0.134948555675558,0.636819928574349,0.349607471694551,0.231351130942219,0.245075451301068,-0.276393347472892,-0.323830206766905,3.2,0.8,0.397,0.474,0.507,10.6,7.7,0.3,16.7,102,108,3.8,6.3,10.2,0.056,-1.2,-0.4,-1.6,0.8
"293",-1.58843517210922,-2.41157214169702,-0.965530581947409,-1.50159728151086,-0.252118736951395,-0.625823608342753,0.58180622694678,1.01388479563455,3.8,1.4,0.403,0.453,0.51,18.1,6.4,1,25.8,104,107,13.4,11.1,24.5,0.096,2,-0.1,1.9,12
"294",-0.150542279895047,-1.20532549557317,-0.169880673274536,-0.857699976048107,-1.09819100576522,0.051542326935774,0.238526397178911,0.27070979430041,1.6,0.7,0.399,0.48,0.489,10.7,4.5,0.2,15.8,97,112,-0.2,1.2,1,0.015,-1.5,-1.9,-3.5,-1.1
"296",0.903912507728678,0.80508558129992,-0.0593737415144147,-0.2942898337682,-1.58166087365883,-0.335523921794814,-0.791313092124695,-0.918370207834219,4.8,0.8,0.371,0.461,0.465,8.7,11.1,1.7,10.8,104,112,0.3,1.7,2,0.051,-2.7,0.6,-2.1,-0.1
"297",0.32875535084301,0.000921150550685453,0.117437349301779,-0.0528283442196685,-0.493853670898201,-1.01288985707334,-0.448033262356827,-0.472465207033734,3.4,1.2,0.409,0.487,0.52,12,6,0.5,17.9,106,108,9.3,10.5,19.8,0.08,-1.1,0.4,-0.8,3.7
"299",0.99977203387629,0.26897596080043,-0.412995923146803,-0.213802670585356,-1.58166087365883,-1.30318954362128,0.238526397178911,0.567979794834067,3.6,0.9,0.416,0.52,0.535,10.8,6.6,1.2,16.3,106,116,1.7,1.3,3,0.038,-1.2,-0.8,-2,0
"304",1.19149108617151,0.671058176175048,0.813631019390542,0.832530450791613,-0.252118736951395,2.3739398193193,-0.791313092124695,-1.51291020890153,3.8,1.3,0.45,0.514,0.556,14.9,7.2,0.6,20.7,108,108,10.7,7.2,18,0.095,0.1,-0.2,-0.1,4.3
"305",-0.342261332190269,-0.535188469948805,-0.855023650187288,-0.696725649682419,-0.614721137871605,-1.20642298143863,-0.448033262356827,-0.769735207567391,3.5,1.3,0.414,0.479,0.52,14.9,5.6,0.6,20.5,106,104,15.8,16.9,32.6,0.115,0.5,0.7,1.2,11
"306",0.903912507728678,0.939112986424793,1.46562191677526,0.269120308511707,-0.735588604845008,-0.916123294890696,-0.104753432588958,-0.323830206766905,2.3,0.4,0.438,0.479,0.52,12.4,8.2,1.6,19.4,102,109,1.8,2.7,4.5,0.061,-0.7,-0.6,-1.2,0.7
"307",0.808052981581067,0.80508558129992,0.2279442810619,0.269120308511707,-0.614721137871605,0.148308889118423,-1.3062328367765,-1.36427520863471,3.3,0.9,0.45,0.54,0.567,16.2,5.5,1.3,24.5,108,107,17.7,11.8,29.5,0.113,1.8,-0.6,1.2,10.1
"312",0.99977203387629,0.537030771050175,0.526312996814227,0.430094634877394,-0.614721137871605,2.3739398193193,-1.64951266654437,-1.36427520863471,3.1,0.8,0.424,0.537,0.571,12.8,6.9,0.9,17.8,110,108,12.4,8.6,21,0.099,0.4,-0.2,0.2,5.6
"313",1.67078871690957,1.8773048222989,1.16725320102293,1.31545342988868,-0.131251269977991,0.245075451301068,-1.13459292189256,-0.621100207300562,5.5,0.6,0.449,0.516,0.544,13.6,9.7,1.2,23.1,105,110,2.9,6.1,9,0.069,-0.3,-1.1,-1.4,0.9
"315",1.47906966461435,1.47522260692428,1.46562191677526,0.591068961243082,-0.977323538791815,-0.14199079742952,-2.50771224096404,-1.81018020943519,3,0.6,0.419,0.494,0.528,9.6,7.3,1.1,13.9,107,110,5.9,4.2,10.1,0.062,-1.9,-0.5,-2.4,-0.8
"318",0.32875535084301,0.671058176175048,1.4103684508952,0.75204328760877,0.714820998835832,1.50304075967548,-1.13459292189256,-0.918370207834219,4.5,0.7,0.444,0.483,0.506,11.9,9.4,0.4,18.3,98,102,0.6,10.9,11.5,0.077,-1.7,0.9,-0.8,2.2
"319",0.137036298547788,-0.133106254574187,-0.71136463889913,-0.455264160133887,-0.856456071818412,-1.10965641925599,0.238526397178911,1.01388479563455,1.8,0.4,0.42,0.566,0.594,9.9,3.8,0.5,14.3,118,114,4.1,2,6.2,0.091,-1,-0.9,-1.8,0.2
"325",0.137036298547788,-0.133106254574187,-0.678212559371094,-0.374776996951044,-0.735588604845008,1.69657388404077,-0.791313092124695,-0.621100207300562,1.5,0.6,0.364,0.391,0.411,9,7.1,1,15.7,89,109,-1.1,0.9,-0.2,-0.007,-3.9,0.4,-3.5,-0.5
"327",0.808052981581067,0.80508558129992,1.07884765561483,2.03983789853427,2.04436313554327,-0.529057046160108,0.58180622694678,0.716614795100896,5.3,0.9,0.46,0.465,0.51,11.7,12.2,1.4,14,105,104,5,11.4,16.4,0.094,-2.1,0.7,-1.4,1.3
"330",-1.01327801522355,-1.33935290069804,-1.90483950190844,-1.66257160787654,-1.21905847273862,0.535375137849007,-1.47787275166043,-1.06700520810105,2.2,1.1,0.415,0.451,0.502,14.2,5,0.7,18.4,107,112,11.4,2.7,14.1,0.07,0.1,-0.9,-0.8,3
"332",1.28735061231912,2.14535963254865,1.02359418973477,1.39594059307152,0.473086064889026,1.11597451094489,-0.96295300700863,-1.36427520863471,6.3,1,0.475,0.483,0.528,16.4,10.8,1.2,21.7,107,104,12.2,15.8,28.1,0.121,0.8,0.5,1.4,9.4
"333",-0.629839910633103,-0.535188469948805,-1.25284860452372,-0.93818713923095,-0.614721137871605,-0.14199079742952,0.410166312062846,0.716614795100896,2.5,0.8,0.423,0.517,0.543,12.4,6.3,0.4,18.3,104,104,4.2,9.6,13.8,0.092,-0.6,0.8,0.2,4
