"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"64",-0.0152736954295973,-0.486033397328871,-0.376489775061141,0.298473954019236,0.459210282915586,-0.25634085761391,0.716543169522363,0.527386201346653,2.5,0.5,0.398,0.436,0.469,6.9,7,2.1,11.5,100,110,-0.1,1.6,1.5,0.048,-4.4,1,-3.3,-0.5
"67",1.30411361189323,0.732551777530261,0.220471884059891,0.624490702288837,-0.741610114248706,0.338369932050365,0.0200540823378976,0.0703881981877015,3.3,0.6,0.435,0.565,0.586,12.9,8.3,1.4,15.7,117,113,1.7,1,2.7,0.102,0.8,-0.4,0.3,0.7
"68",-1.05193515118325,-0.756830102853123,-1.04103199936569,-0.272055355452565,0.939538441781303,0.536606861938458,-0.223717098176665,-0.2342771372516,1.5,0.6,0.41,0.475,0.49,12.9,6.6,0.7,20.3,104,105,0.6,0.8,1.4,0.093,-1.3,0.6,-0.7,0.2
"72",1.02138776032405,1.40954354134089,1.78608831081128,1.27652419882804,0.579292322632015,-0.751933182334145,0.0200540823378976,-0.843607808130203,6.1,1.2,0.426,0.449,0.509,17.6,9.4,1,28.5,102,105,3.7,2.4,6.1,0.098,1.6,-1.6,0,1.5
"73",0.644419958231816,0.867950130292387,1.16659979662908,1.11351582469324,0.819456402064874,1.03219918665869,-1.19880182023492,-1.60527114672846,5.1,1.8,0.416,0.432,0.502,15.1,8,0.9,22.9,99,102,1.6,3.6,5.1,0.086,-0.4,1,0.5,1.8
"74",-1.80587075536772,-1.56922021942588,-0.106167514327088,-0.679576290789566,1.29978456093059,-0.0581039277258168,-0.676435004846568,-0.691275140410552,1.3,0.3,0.328,0.422,0.444,6.9,7.2,1.1,18.4,92,109,-0.3,0.4,0.1,0.014,-4.4,-0.2,-4.6,-0.2
"75",0.173210205616521,0.867950130292387,0.941331246017365,0.624490702288837,0.699374362348445,2.02338383609916,-1.19880182023492,-2.06226914988741,1,0.2,0.364,0.429,0.489,9.2,7.7,1.2,17.2,103,107,0.1,0.3,0.4,0.07,-3.2,0.3,-2.8,-0.1
"77",1.96380726555464,1.13874683581664,1.12154608650673,0.461482328154036,-1.82234847169657,0.635725326882507,-1.72116863562327,-1.45293847900881,4.8,1.2,0.452,0.506,0.513,13.3,9.6,1.2,16.7,105,105,1.6,1.8,3.4,0.09,0.1,0.7,0.8,1.3
"79",-0.769209299614069,-1.02762680837737,0.851223825772681,-0.190551168385165,0.699374362348445,-0.454577787502003,-0.328190461254335,-0.691275140410552,1.3,0.6,0.447,0.452,0.482,12.4,4.3,0.5,19,100,112,0.4,0.1,0.5,0.028,-2.7,-1.5,-4.2,-0.5
"81",1.02138776032405,0.190958366481758,0.288052449243405,-0.353559542519965,-1.82234847169657,0.140133002162276,-0.328190461254335,0.679718869066304,3,0.5,0.441,0.522,0.545,14.1,8.5,0.5,19.4,111,110,1.9,1.2,3.1,0.1,1.1,-0.7,0.5,0.9
"83",-1.33466100275242,-0.621431750090997,-0.466597195305825,-0.516567916654765,0.939538441781303,-0.851051647278189,0.36829862593013,-0.386609804971251,2.6,1,0.352,0.449,0.471,9.8,5.5,0.1,13.1,102,102,0.8,3.3,4.1,0.09,-2.2,1.6,-0.7,0.7
"85",-1.42890295327548,-1.97541527771225,-1.31135426009974,-1.25010560026137,-0.0211178759501308,-0.0581039277258168,0.542420897726247,0.527386201346653,5.1,2.2,0.43,0.456,0.546,22.1,8.5,0.2,22.2,114,104,6.8,3.6,10.4,0.178,3,2.2,5.2,5.1
"87",-1.14617710170631,-1.704618572188,-1.48030567305852,-1.00559303905917,-0.0211178759501308,0.239251467106321,0.542420897726247,0.222720865907352,0.7,0.4,0.366,0.443,0.479,12.3,4.3,0,19.6,103,108,0.3,0.3,0.6,0.07,-0.8,-1.1,-1.9,0
"89",1.58683946346241,0.867950130292387,1.62840032538308,1.60254094709764,0.339128243199157,-1.34664397199842,0.0200540823378976,0.375053533627003,3.5,1.1,0.372,0.442,0.462,8.3,9.2,1.6,11.5,97,105,0.1,1.5,1.5,0.052,-3.5,1.2,-2.2,-0.1
"91",-0.486483448044892,-1.02762680837737,-0.241328644694114,-0.598072103722165,-0.261281955382989,0.933080721714644,0.542420897726247,0.679718869066304,1.3,0.4,0.416,0.5,0.521,9,5.4,0.3,20.9,95,109,-0.2,0.3,0.2,0.019,-2.9,-0.6,-3.4,-0.2
"92",0.927145809800993,0.326356719243884,0.457003862202188,0.869003263491037,0.0989641637662985,-0.454577787502003,1.23890998491071,1.13671687222526,2.5,0.6,0.355,0.407,0.447,8.4,8.7,1.5,19.6,87,110,-0.8,0.4,-0.4,-0.03,-3.7,-1.5,-5.2,-0.5
"94",0.455936057185698,0.597153424768135,-0.511650905428167,0.705994889356237,0.459210282915586,0.933080721714644,-0.850557276642684,-0.2342771372516,3.3,0.8,0.43,0.473,0.505,10.5,9.6,0.9,13.6,104,112,0.2,0.8,1,0.052,-3.1,1,-2.2,0
"97",0.927145809800993,0.732551777530261,-0.917134296529246,0.0539613928170357,-1.10185623339799,-0.0581039277258168,0.0200540823378976,0.0703881981877015,3.7,1,0.374,0.382,0.429,8.3,9.4,1.1,15.6,91,110,-1.4,1.2,-0.2,-0.005,-4.2,0.1,-4.1,-1
"101",-2.08859660693689,-1.56922021942588,-1.67741565484377,-1.49461816146357,0.459210282915586,-1.54488090188652,-0.676435004846568,-0.386609804971251,1.8,0.6,0.43,0.517,0.587,14.9,4.3,0.1,20.8,115,110,3.6,1.5,5.1,0.128,1.4,-0.5,0.9,1.4
"102",-0.203757596475715,0.326356719243884,0.0965741812234512,0.0539613928170357,0.339128243199157,-0.0581039277258168,-0.154068189458219,-0.538942472690901,3,0.4,0.381,0.458,0.48,7.9,7.4,0.5,19.8,93,113,-1,0.6,-0.4,-0.013,-3.4,-1.9,-5.2,-1.2
"103",1.39835556241629,1.68034024686514,2.34925968734056,1.52103676003024,0.459210282915586,-0.553696252446052,-0.328190461254335,-0.538942472690901,1,0.2,0.354,0.412,0.457,7.5,6.7,1.5,18.5,97,114,-0.1,0.1,0,0.002,-3.4,-1.8,-5.2,-0.3
"104",-1.05193515118325,-0.350635044566745,-0.466597195305825,-1.98364328386797,-1.58218439226371,-0.0581039277258168,-0.850557276642684,-0.386609804971251,1.7,0.8,0.369,0.414,0.466,10.9,3.3,0.4,23.8,96,111,0.2,0.1,0.3,0.011,-1.9,-2.8,-4.7,-0.9
"106",-0.67496734909101,-1.29842351390163,-0.70312917344812,-0.109046981317765,0.699374362348445,1.13131765160274,1.41303225670683,0.984384204505606,3.1,0.9,0.429,0.501,0.546,16.4,4.7,0.5,24.2,108,112,5.1,0.7,5.8,0.088,2.1,-1.9,0.3,1.8
"107",0.361694106662639,-0.0798383390424938,0.220471884059891,0.298473954019236,-0.0211178759501308,-0.950170112222238,0.36829862593013,0.527386201346653,1.9,0.3,0.447,0.516,0.532,11.6,9.8,0.4,17.3,106,112,0.3,0.3,0.6,0.06,-1.6,-0.6,-2.3,0
"108",2.0580492160777,1.00334848305451,-0.213170075867651,-0.0275427942503644,-2.66292274971157,0.140133002162276,0.194176354134014,-0.538942472690901,1.2,0.2,0.374,0.374,0.403,9.4,9.8,0.3,22.9,87,106,-0.2,0.2,-0.1,-0.014,-4,-2.3,-6.3,-0.3
"110",1.49259751293935,0.732551777530261,1.35807806464903,1.76554932123244,0.699374362348445,1.13131765160274,0.194176354134014,-0.691275140410552,4.9,0.7,0.462,0.494,0.54,14.7,12.5,2.6,16.4,110,101,2.1,3,5.1,0.139,-0.7,1.8,1.1,1.4
"112",0.361694106662639,0.732551777530261,-0.280750641051163,0.461482328154036,0.219046203482728,-0.355459322557959,0.36829862593013,-0.538942472690901,1.6,0.5,0.349,0.448,0.457,5.7,4.2,0.6,13.8,90,109,-1.1,1,-0.1,-0.003,-3.6,-0.7,-4.3,-1.1
"114",0.927145809800993,0.190958366481758,1.80861516587245,0.298473954019236,-0.741610114248706,0.8339622567706,0.89066544131848,0.222720865907352,1.5,0.3,0.407,0.509,0.529,6.3,6.7,1.4,9,103,111,0.2,0.3,0.5,0.034,-3.6,0.9,-2.7,-0.1
"118",-1.24041905222936,-1.02762680837737,-1.97589648440429,-1.65762653559837,-0.861692153965135,-1.24752550705437,0.0200540823378976,-0.843607808130203,2.5,1,0.477,0.506,0.546,16.5,5.3,0.1,23.1,105,112,1.9,1.1,2.9,0.067,0.9,-1.8,-0.8,0.6
"120",0.361694106662639,-0.0798383390424938,1.222916934282,0.461482328154036,0.219046203482728,-1.54488090188652,1.41303225670683,0.679718869066304,1.8,0.4,0.367,0.415,0.47,9,9.1,0.9,13.4,99,112,0.1,0.3,0.4,0.024,-2.2,-0.9,-3.1,-0.2
"126",-0.769209299614069,-0.21523669180462,-1.0297685718351,-0.679576290789566,-0.0211178759501308,-0.751933182334145,-0.154068189458219,-0.386609804971251,1.7,0.5,0.426,0.503,0.524,12.3,7.5,1.2,17,107,107,0.5,0.5,0.9,0.09,-0.7,0.5,-0.2,0.2
"127",0.738661908754875,0.597153424768135,0.558374709977457,0.298473954019236,-0.501446034815848,0.8339622567706,-0.502312733050452,0.679718869066304,2.9,0.6,0.498,0.502,0.554,12.5,7.9,0.8,18.1,110,115,2,0.3,2.3,0.066,-1.5,-1.3,-2.8,-0.3
"130",0.173210205616521,0.461755072006009,0.513320999855116,0.869003263491037,1.05962048149773,2.3207392309313,-1.19880182023492,-1.30060581128915,2.6,0.5,0.354,0.481,0.492,7.3,8.3,0.6,15.4,95,108,-0.5,1.1,0.6,0.031,-3.5,0.1,-3.3,-0.3
"131",-1.33466100275242,-0.756830102853123,-0.47786062283641,-0.353559542519965,1.17970252121416,0.536606861938458,-0.502312733050452,0.984384204505606,0.9,0.2,0.402,0.451,0.47,7,6,2.8,16.3,94,109,-0.2,0.3,0.1,0.027,-4.9,0.6,-4.3,-0.1
"132",-0.67496734909101,-0.621431750090997,0.062783898631695,-0.598072103722165,-0.0211178759501308,0.239251467106321,-0.154068189458219,-0.386609804971251,2.4,0.8,0.421,0.478,0.5,12.4,5.1,0.6,20.3,103,110,1.5,1.3,2.8,0.059,-0.5,-1.2,-1.7,0.2
"136",-0.769209299614069,-0.486033397328871,-0.297645782347042,-0.0275427942503644,0.939538441781303,-1.74311783177461,1.41303225670683,1.13671687222526,3.9,0.8,0.475,0.482,0.516,16,6.1,0.4,22.6,108,113,3.4,1.5,4.9,0.078,1.1,-1.5,-0.4,1.2
"138",0.361694106662639,0.597153424768135,0.254262166651649,0.0539613928170357,-0.381363995099418,0.536606861938458,-1.0246795484388,-0.538942472690901,2.5,0.6,0.423,0.48,0.535,11.9,4.8,0.8,23,102,112,1.2,0.7,1.9,0.043,-1.2,-1.7,-2.8,-0.5
"139",-0.67496734909101,-0.486033397328871,-1.76189136132316,-0.190551168385165,0.579292322632015,-0.355459322557959,0.0200540823378976,0.222720865907352,1.3,1,0.429,0.489,0.53,14.7,4.9,1.2,18.8,106,104,1.1,1.6,2.7,0.111,-0.1,2,1.9,1.2
"142",0.550178007708757,0.055560013719632,1.06522894885381,-0.679576290789566,-1.70226643198014,-0.157222392669866,0.194176354134014,0.375053533627003,3.1,0.9,0.44,0.501,0.531,9.8,6.3,0.7,18.5,100,113,0.1,1.1,1.2,0.024,-2.9,-1.1,-4,-1.2
"144",0.26745215613958,0.597153424768135,0.535847854916287,0.298473954019236,0.0989641637662985,-0.157222392669866,-1.19880182023492,-0.843607808130203,1.2,0.1,0.355,0.427,0.489,11.1,10.8,1.1,17.4,109,110,0.2,0.1,0.3,0.083,-0.5,-1.3,-1.8,0
"145",1.30411361189323,1.00334848305451,1.05396552132322,0.787499076423637,-0.501446034815848,0.239251467106321,-0.676435004846568,-0.538942472690901,2,0.3,0.379,0.383,0.397,6.6,11.7,3.1,10.4,86,109,-0.6,0.6,0,-0.003,-4.4,0.1,-4.3,-0.4
"146",-0.863451250137128,-0.892228455615248,0.569638137508043,0.624490702288837,2.02027679922917,-2.1395916915508,2.10952134389129,1.28904953994491,3.7,1.5,0.437,0.506,0.541,16.7,6.4,0.9,29.1,103,105,1.4,3.8,5.2,0.095,0.9,0.3,1.2,2.2
"147",1.11562971084711,1.40954354134089,0.637218702691556,1.19502001176064,0.339128243199157,0.437488396994414,0.716543169522363,-0.2342771372516,2.7,0.6,0.372,0.456,0.486,7.7,7.9,1.4,11.6,99,110,-0.1,1.5,1.4,0.041,-3.3,0.6,-2.6,-0.3
"148",-0.109515645952656,-0.486033397328871,-0.106167514327088,-0.435063729587365,-0.501446034815848,1.82514690621106,-0.502312733050452,-0.843607808130203,1,0.3,0.368,0.411,0.433,4.8,4.4,0,15.7,86,112,-0.6,0.2,-0.4,-0.032,-5.6,-1.6,-7.3,-0.8
"149",1.02138776032405,0.732551777530261,0.941331246017365,0.379978141086636,-0.741610114248706,0.635725326882507,-0.676435004846568,0.0703881981877015,1.2,0.1,0.402,0.463,0.48,6.1,7.3,0.2,18.3,89,108,-0.3,0.2,0,-0.005,-4.1,-1.9,-6,-0.3
"152",0.455936057185698,0.867950130292387,1.1440729415679,0.624490702288837,0.339128243199157,-0.0581039277258168,-0.154068189458219,0.0703881981877015,2.3,0.3,0.375,0.404,0.431,5.8,9.4,0.2,13.7,88,111,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5
"154",0.0789682550934617,0.461755072006009,0.6034284200998,0.869003263491037,1.17970252121416,-1.44576243694247,0.36829862593013,-0.386609804971251,4,1.4,0.465,0.475,0.53,17.6,6.8,1.3,25,101,102,2.2,2.3,4.6,0.103,1.4,0.1,1.4,1.9
"155",-0.392241497521833,-0.21523669180462,-0.556704615550509,0.461482328154036,1.17970252121416,0.8339622567706,0.542420897726247,-0.538942472690901,0.9,0.3,0.381,0.456,0.474,8.8,5.9,0.7,19.9,89,101,-0.3,0.5,0.2,0.031,-3.3,0.9,-2.4,0
"157",-1.33466100275242,-0.892228455615248,-0.973451434182173,-0.435063729587365,1.05962048149773,-0.355459322557959,0.716543169522363,0.375053533627003,1.3,0.9,0.453,0.491,0.507,11.6,5.1,0.4,13.4,104,106,0.7,0.8,1.5,0.076,-1.8,1.6,-0.2,0.4
"160",-1.42890295327548,-1.43382186666375,-1.39582996657913,-1.49461816146357,-0.381363995099418,0.437488396994414,-0.328190461254335,0.679718869066304,0.8,0.3,0.421,0.46,0.478,11.6,4.5,0,26.2,92,102,-0.2,0.6,0.4,0.035,-2.4,-0.9,-3.3,-0.2
"163",-0.392241497521833,-0.486033397328871,-0.894607441468074,-0.0275427942503644,0.459210282915586,0.0410145372182275,0.36829862593013,-0.2342771372516,4.3,1.7,0.425,0.433,0.456,13.8,7.9,0.7,18.3,97,107,0,2.3,2.3,0.044,-1.5,0.3,-1.2,0.5
"166",-0.580725398567951,-0.350635044566745,1.16659979662908,0.298473954019236,1.17970252121416,-2.1395916915508,0.542420897726247,1.13671687222526,2.6,1,0.456,0.529,0.593,14.9,4.3,1,20.7,112,115,3.9,0.7,4.6,0.082,0.6,-1,-0.4,1
"167",-0.486483448044892,-0.892228455615248,-2.1223210423019,-1.82063490973317,-2.06251255112943,-0.355459322557959,-0.676435004846568,-1.45293847900881,1.6,0.5,0.418,0.448,0.478,11.8,5.9,0.6,17.1,103,107,0.5,1.4,1.9,0.071,-1.7,-0.1,-1.8,0.1
"170",0.832903859277934,0.867950130292387,0.70479926787507,-0.0275427942503644,-1.10185623339799,0.437488396994414,-1.0246795484388,-0.538942472690901,3.9,0.6,0.425,0.439,0.484,10.8,9.8,0.6,17,99,106,0,2.2,2.3,0.06,-2.6,0.4,-2.2,-0.1
"172",-0.580725398567951,-0.621431750090997,0.0177301885093523,-0.190551168385165,0.459210282915586,-0.851051647278189,1.41303225670683,1.74604754310386,2.2,0.4,0.434,0.493,0.517,9.4,5.9,0.1,18.5,102,117,0.1,0.4,0.4,0.018,-2.9,-1.7,-4.6,-0.8
"174",-1.71162880484466,-1.704618572188,-0.70312917344812,-1.57612234853097,-0.14119991566656,-0.454577787502003,1.23890998491071,1.44138220766456,2.5,0.7,0.379,0.42,0.48,13,7.5,1,22.6,100,112,0,0.6,0.5,0.027,-1.3,-1,-2.3,-0.1
"175",0.361694106662639,1.13874683581664,1.08212409014968,1.03201163762584,1.05962048149773,0.239251467106321,-1.0246795484388,-0.843607808130203,1.8,0.4,0.454,0.489,0.524,11.7,8.5,0.6,20.1,101,109,0.3,0.7,0.9,0.055,-2,-0.8,-2.9,-0.2
"177",-0.863451250137128,-0.756830102853123,-1.14240284714096,0.298473954019236,1.53994864036345,-1.54488090188652,1.23890998491071,0.375053533627003,2.1,0.6,0.403,0.435,0.502,11.6,7.4,1.2,19.5,101,104,0.2,2,2.1,0.08,-3.3,1.6,-1.8,0.1
"178",0.927145809800993,1.00334848305451,-0.522914332958752,0.542986515221437,-0.381363995099418,-0.157222392669866,0.36829862593013,0.832051536785955,1.3,0.4,0.478,0.5,0.541,13.1,6.7,0.8,21.7,102,108,0.2,0.3,0.5,0.064,-2.3,-1.2,-3.5,-0.1
"179",0.173210205616521,0.597153424768135,0.749852977997411,0.705994889356237,0.819456402064874,-0.851051647278189,0.36829862593013,-0.386609804971251,1.3,0.2,0.356,0.375,0.453,9.7,9.3,2.1,18.2,96,104,-0.1,0.5,0.4,0.056,-3.1,0.5,-2.5,0
"180",-0.486483448044892,-0.21523669180462,-0.128694369388259,0.461482328154036,1.29978456093059,0.239251467106321,0.36829862593013,-0.0819444695319492,2.8,1.5,0.453,0.504,0.562,17,6.1,0.6,20.1,110,108,2.1,0.7,2.7,0.114,1,0,1,0.9
"181",0.738661908754875,0.055560013719632,0.569638137508043,0.624490702288837,-0.0211178759501308,-0.751933182334145,2.10952134389129,1.59371487538421,1.1,0.2,0.388,0.425,0.471,8.5,8.3,0.3,14.9,97,112,0,0.1,0.1,0.012,-3,-2.3,-5.4,-0.2
"182",1.20987166137017,0.732551777530261,0.547111282446872,-0.109046981317765,-1.70226643198014,-0.0581039277258168,0.0200540823378976,-0.538942472690901,1.9,0.4,0.485,0.544,0.578,10.7,6.9,1.3,15.3,106,113,0.8,0.4,1.2,0.048,-1.2,-1.1,-2.2,-0.1
"185",-0.203757596475715,-0.892228455615248,-0.185011507041187,-0.272055355452565,-0.14119991566656,-0.751933182334145,0.716543169522363,1.28904953994491,0.6,0.2,0.376,0.466,0.516,7.5,3,1.1,24.4,95,111,-0.4,0.4,0,0.002,-4.2,-2.1,-6.3,-0.5
"189",0.26745215613958,0.732551777530261,-0.241328644694114,1.11351582469324,1.29978456093059,-1.24752550705437,0.716543169522363,1.28904953994491,1.9,0.4,0.455,0.467,0.497,10.1,9.5,1.6,16.6,103,108,0.1,0.7,0.8,0.069,-4.4,0.2,-4.2,-0.3
"190",1.30411361189323,0.326356719243884,1.49323919501606,1.03201163762584,-0.14119991566656,-0.652814717390096,2.63188815927964,0.984384204505606,4.1,0.6,0.439,0.481,0.526,11,8.9,0.5,17.7,102,107,0.9,1.9,2.8,0.065,-1.6,-0.1,-1.7,0.1
"194",1.20987166137017,0.597153424768135,0.265525594182234,0.461482328154036,-0.861692153965135,1.52779151137892,-0.676435004846568,0.0703881981877015,3.2,0.7,0.46,0.55,0.57,9.5,7.7,0.5,11.3,110,112,1.4,0.6,2,0.055,-2.1,-1,-3.2,-0.5
"196",0.26745215613958,-0.21523669180462,1.15533636909849,0.461482328154036,0.339128243199157,-0.454577787502003,2.10952134389129,1.74604754310386,3.2,1.7,0.401,0.446,0.484,10.8,6.3,0.4,18.2,96,101,-0.1,2.5,2.4,0.068,-3,1.6,-1.4,0.2
"197",-0.863451250137128,-0.21523669180462,1.18912665169025,0.298473954019236,1.53994864036345,1.52779151137892,-0.850557276642684,-0.843607808130203,1.9,0.3,0.399,0.438,0.455,6.7,7.1,0.3,14.1,96,111,-0.3,0.5,0.3,0.023,-5.4,0.4,-5,-0.4
"198",-2.55980635955219,-2.38161033599863,-0.860817158876318,-2.06514747093537,0.219046203482728,-0.851051647278189,0.36829862593013,1.13671687222526,2.6,0.8,0.448,0.521,0.574,17.6,5.6,0.4,19.8,116,113,4.2,0,4.3,0.124,2.4,-1.6,0.8,1.2
"199",-0.109515645952656,-0.0798383390424938,0.490794144793944,0.216969766951836,0.459210282915586,1.13131765160274,-1.0246795484388,-0.2342771372516,2.5,0.6,0.402,0.445,0.487,7.6,5.9,1.7,18.2,91,113,-1.7,0.9,-0.8,-0.023,-4.3,-0.8,-5.1,-1.3
"201",-0.863451250137128,-1.1630251611395,-0.748182883570463,-1.90213909680057,-1.70226643198014,-1.24752550705437,-0.154068189458219,-0.2342771372516,2.3,0.6,0.369,0.477,0.515,12.7,5.5,0.2,17.7,106,105,1.8,1.2,3,0.096,0,-0.5,-0.5,0.6
