"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"409",-2.01256974479068,-0.352578681540046,-1.79332142474611,-0.330621828977072,1.17500327930006,-0.836213649297844,0.514308124372647,0.490898244252148,4.3,0.8,0.505,0.515,0.531,16.1,16.4,3.3,15.5,109,102,1.1,1.7,2.8,0.125,-0.7,2,1.3,0.9
"411",-0.195009109796278,0.10841609236242,0.264617055618952,-0.117317423185414,0.0216258272263814,-0.104698155106182,1.24092445902716,0.817483354773328,2.6,0.4,0.514,0.532,0.564,15.9,10.5,4.3,17.9,111,109,1,0.5,1.5,0.103,-1.1,-0.4,-1.5,0.1
"421",1.77401491144766,0.503554469993105,0.387645986510342,0.949204605772875,-0.324387408395721,-0.0315466056870135,-0.938924544936379,-0.815442197832572,1.7,0.1,0.406,0.406,0.453,6.5,13.2,5,10.6,88,103,-0.1,0.3,0.2,0.03,-6.1,0.5,-5.6,-0.2
"422",-0.952326041043944,0.042559696090639,-0.898565563717825,0.522595794189559,1.29034102450743,-0.104698155106182,1.42257854269079,2.28711635211864,4.5,0.9,0.422,0.457,0.497,12.4,9.9,2.7,21.3,96,111,-0.5,1,0.5,0.011,-1.5,-0.7,-2.2,-0.1
"423",2.37986845644579,1.03040564016735,-0.0261785992152426,2.86894425789779,1.29034102450743,1.72409058037298,-1.48388679592726,-1.46861241887493,3.4,0.2,0.486,0.486,0.507,12.9,20.6,7.4,14.2,94,104,-0.2,0.6,0.4,0.045,-3.6,0.9,-2.7,-0.1
"425",-1.25525281354301,-0.0891530964529228,0.555412710453146,0.0959869826062436,1.05966553409269,-0.689910550459511,-0.938924544936379,-0.978734753093162,4.9,0.6,0.487,0.492,0.548,14,13.2,0.3,15.9,112,108,1.9,1.2,3.1,0.108,0,-1.2,-1.2,0.3
"426",-1.55817958604208,-0.352578681540046,-0.842643322403557,-0.757230640560387,0.367639062848484,-0.982516748136177,0.877616291699904,1.3073610205551,2.1,0.2,0.292,0.292,0.339,4.1,12.7,3,16.2,76,105,-0.9,0.4,-0.5,-0.052,-7.8,-1.5,-9.3,-0.8
"436",-0.195009109796278,-0.286722285268265,-0.507109874517948,-1.39714385793536,-1.36242711526203,-0.251001253944515,0.15099995704539,-0.162271976790212,5.4,1.6,0.429,0.482,0.518,13.9,7.5,1.8,18.2,104,107,2.7,2.1,4.8,0.074,0.2,0.3,0.5,1.9
"439",-0.800862654794411,-0.418435077811827,-0.618954357146484,0.522595794189559,1.17500327930006,-0.251001253944515,1.05927037536353,-0.815442197832572,1.8,0.1,0.469,0.528,0.533,9.7,8.6,1.1,15.5,105,109,0.3,0.4,0.7,0.063,-1.6,-1.1,-2.7,-0.1
"440",-0.649399268544878,-0.418435077811827,1.11463512359583,1.0558568086687,1.63635426012953,1.87039367921131,-0.0306541266182378,0.00102057847037776,5.4,0.6,0.455,0.458,0.518,12.3,17.3,2,15.9,100,105,0.3,1.9,2.2,0.07,-2.9,-0.4,-3.3,-0.5
"444",-0.0435457235467443,0.240128884905982,-0.786721081089289,1.26916121446036,1.40567876971479,-0.251001253944515,1.05927037536353,1.79723868633687,2.3,0.2,0.508,0.508,0.587,12.3,12.3,4.9,12.8,116,107,1,0.7,1.6,0.117,-3.4,0.2,-3.1,-0.2
"447",0.865234593950456,0.371841677449543,0.331723745196074,-0.54392623476873,-1.24708937005466,1.28518128385798,-1.12057862860001,-1.46861241887493,3.2,0.2,0.459,0.465,0.486,11.6,14.6,3.3,19.2,97,109,-0.2,0.8,0.6,0.033,-3.2,-0.9,-4.1,-0.5
"451",1.31962475269906,0.305985281177763,0.918907278995889,1.16250901156453,0.252301317641117,0.480514240247151,-0.212308210281866,-0.162271976790212,4.1,0.5,0.503,0.503,0.541,11.2,15.6,3.9,11.7,108,102,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1
"452",1.01669798019999,0.10841609236242,-0.786721081089289,0.949204605772875,0.252301317641117,-1.34827449523201,0.514308124372647,1.63394613107628,1.8,0.1,0.456,0.456,0.502,12.9,10.5,5.8,17.7,106,105,0.5,0.5,1,0.094,-3.7,-0.4,-4,-0.3
